model,total_items,P@1,P@3,P@5,R@1,R@3,R@5,F1@1,F1@3,F1@5,MRR,NDCG@5,MAP@5,Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy,mean_similarity,median_similarity,std_similarity
Similarity-based,673,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.16666666666666666,0.19615295963279442,0.16666666666666666,0.10714285714285714,0.21428571428571427,0.2857142857142857,0.9967622107702953,0.9997663221016867,0.018322271642120507
KNN,673,0.17857142857142858,0.32142857142857145,0.5714285714285714,0.17857142857142858,0.32142857142857145,0.5714285714285714,0.17857142857142858,0.32142857142857145,0.5714285714285714,0.29345238095238096,0.3607607289393307,0.29345238095238096,0.17857142857142858,0.32142857142857145,0.5714285714285714,0.6919946716795348,0.6852837580553315,0.059216322084347725
SVM,673,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.07559523809523809,0.10062604876099766,0.07559523809523809,0.03571428571428571,0.10714285714285714,0.17857142857142858,0.9921584686057892,0.9999997629521544,0.05743638460935093
